Estado,Diagnostico Depressão Total,Masculino,Feminino,Região
Rondônia,9.0,5.1,12.8,Norte
Acre,6.0,2.5,9.3,Norte
Amazonas,4.2,2.9,5.4,Norte
Roraima,5.1,2.8,7.3,Norte
Pará,4.1,2.5,5.6,Norte
Amapá,4.5,2.0,6.9,Norte
Tocantins,6.6,2.7,10.4,Norte
Maranhão,5.4,2.4,8.2,Nordeste
Piauí,6.9,3.4,10.0,Nordeste
Ceará,8.1,4.0,11.6,Nordeste
Rio Grande do Norte,8.5,3.8,12.6,Nordeste
Paraíba,7.6,3.9,10.7,Nordeste
Pernambuco,6.8,2.5,10.2,Nordeste
Alagoas,6.2,3.3,8.7,Nordeste
Sergipe,8.5,4.0,12.5,Nordeste
Bahia,6.3,2.2,10.0,Nordeste
Minas Gerais,13.7,7.9,18.8,Sudeste
Espírito Santo,11.3,5.7,16.3,Sudeste
Rio de Janeiro,8.1,4.7,10.8,Sudeste
São Paulo,11.8,5.7,17.2,Sudeste
Paraná,13.9,6.5,20.5,Sul
Santa Catarina,13.1,5.6,20.2,Sul
Rio Grande do Sul,17.9,9.8,25.0,Sul
Mato Grosso do Sul,10.1,4.3,15.1,Centro-Oeste
Mato Grosso,8.2,3.3,12.7,Centro-Oeste
Goiás,12.0,5.9,17.7,Centro-Oeste
Distrito Federal,9.4,4.7,13.5,Centro-Oeste
